Case, U, D, LWC, TC, N, PQV, PQF, PQK, PQC, PQE, PQW
2-5-a, 70, 20, 0.7, -26, 0.9, 5, 94, 1, 48, 16, 36
2-5-a, 70, 20, 0.7, -20, 0.7, 6, 93, 1, 47, 18, 35
2-5-a, 70, 20, 0.7, -14, 0.49, 8, 91, 1, 46, 21, 33
2-5-a, 70, 20, 0.7, -8, 0.27, 14, 84, 2, 44, 24, 32
2-5-a, 70, 20, 0.7, -2, 0.03, 53, 38, 9, 44, 25, 31
2-5-b, 70, 20, 0.1, -6, 0.93, 24, 75, 1, 60, 34, 6
2-5-b, 70, 20, 0.1, -4, 0.53, 36, 63, 1, 59, 35, 6
2-5-b, 70, 20, 0.1, -2, 0.10, 73, 25, 2, 60, 34, 6
2-6-a, 70, 20, 0.7, -26, .90, 5, 95, 1, 48, 15, 36
2-6-a, 70, 20, 0.8, -26, .83, 4, 95, 1, 46, 14, 40
2-6-a, 70, 20, 0.9, -26, .78, 4, 95, 1, 44, 14, 42
2-6-a, 70, 20, 1.0, -26, .73, 4, 95, 1, 42, 13, 45
2-6-a, 70, 20, 2.0, -26, .54, 3, 96, 1, 29,  9, 62
2-6-a, 70, 20, 3.0, -26, .47, 2, 96, 2, 22,  7, 71
2-6-a, 70, 20, 4.0, -26, .44, 2, 97, 2, 18,  6, 77
2-6-a, 70, 20, 5.0, -26, .42, 1, 97, 2, 15,  5, 80
2-6-b, 70, 20, 0.1, -6, .93, 24, 75,  1, 60, 34, 6
2-6-b, 70, 20, 0.4, -6, .28, 21, 77,  2, 51, 29, 21
2-6-b, 70, 20, 0.7, -6, .19, 18, 79,  3, 44, 25, 32
2-6-b, 70, 20, 1.0, -6, .15, 16, 80,  4, 39, 22, 40
2-6-b, 70, 20, 1.3, -6, .14, 14, 82,  4, 34, 19, 46
2-6-b, 70, 20, 1.6, -6, .12, 13, 82,  5, 31, 18, 51
2-6-b, 70, 20, 1.9, -6, .11, 12, 83,  5, 28, 16, 56
2-6-b, 70, 20, 2.2, -6, .11, 11, 84,  6, 26, 15, 59
2-6-b, 70, 20, 2.5, -6, .10, 10, 84,  6, 24, 14, 62
2-6-b, 70, 20, 2.8, -6, .10, 9 , 85,  6, 23, 13, 65
2-7-a, 70, 20, 0.7, -26, 0.90, 5, 95, 1, 48, 15, 36
2-7-a, 70, 40, 0.7, -26, 0.68, 4, 95, 1, 39, 12, 48
2-7-a, 70, 60, 0.7, -26, 0.64, 3, 95, 1, 37, 11, 52
2-7-a, 70, 80, 0.7, -26, 0.62, 3, 96, 1, 35, 11, 54
2-7-b, 70, 20, 0.1, -6, .93, 24, 75, 1, 60, 34, 6
2-7-b, 70, 40, 0.1, -6, .60, 24, 76, 1, 58, 33, 10
2-7-b, 70, 60, 0.1, -6, .52, 23, 76, 1, 57, 32, 11
2-7-b, 70, 80, 0.1, -6, .49, 23, 76, 1, 56, 32, 12
2-8-a, 70, 20, 0.7, -26, .90, 5 , 95, 1, 48, 15, 36
2-8-a, 80, 20, 0.7, -26, .82, 6 , 93, 1, 46, 14, 39
2-8-a, 90, 20, 0.7, -26, .76, 7 , 92, 1, 45, 14, 42
2-8-a, 100, 20, 0.7, -26, .71, 8 , 90, 2, 43, 13, 44
2-8-a, 110, 20, 0.7, -26, .67, 10, 88, 2, 42, 13, 46
2-8-a, 120, 20, 0.7, -26, .62, 11, 86, 3, 40, 12, 48
2-8-a, 130, 20, 0.7, -26, .59, 13, 84, 4, 39, 11, 49
2-8-b, 70 ,20, 0.1, -6, .93, 24, 75, 1, 60, 34, 6
2-8-b, 80 ,20, 0.1, -6, .74, 32, 67, 1, 60, 33, 7
2-8-b, 90 ,20, 0.1, -6, .58, 40, 58, 1, 60, 32, 8
2-8-b, 100,20, 0.1, -6, .44, 50, 48, 2, 60, 32, 8
2-8-b, 110,20, 0.1, -6, .31, 61, 37, 2, 60, 30, 9
2-8-b, 120,20, 0.1, -6, .19, 72, 25, 3, 60, 30, 10
2-8-b, 130,20, 0.1, -6, .08, 85, 11, 3, 61, 29, 10
